ชื่อของขวัญ,กลุ่มจับรางวัล,จำนวนคงเหลือ
iPhone 17 Pro max[หมายเลข 1],อายุงานไม่ถึง 1 ปี,1
iPhone 17 Pro[หมายเลข 2],อายุงานไม่ถึง 1 ปี,1
หูฟังไร้สาย[หมายเลข 3],อายุงานไม่ถึง 1 ปี,1
"บัตรกำนัล 1,000 บาท[หมายเลข 4]",อายุงานไม่ถึง 1 ปี,1
เครื่องซักผ้า[หมายเลข 5],อายุงานไม่ถึง 1 ปี,1
ตู้เย็น 2 ประตู[หมายเลข 6],อายุงานไม่ถึง 1 ปี,1
พัดลม[หมายเลข 7],อายุงานไม่ถึง 1 ปี,1
บัตรกำนัล 500 บาท[หมายเลข 8],อายุงานไม่ถึง 1 ปี,1
ลำโพง[หมายเลข 9],อายุงานไม่ถึง 1 ปี,1
mini PC[หมายเลข 10],อายุงานไม่ถึง 1 ปี,1
ไมโครเวฟ[หมายเลข 11],อายุงานไม่ถึง 1 ปี,1
ไมโครเวฟ[หมายเลข 12],อายุงานไม่ถึง 1 ปี,1
ไมโครเวฟ[หมายเลข 13],อายุงานไม่ถึง 1 ปี,1
ไมโครเวฟ[หมายเลข 14],อายุงานไม่ถึง 1 ปี,1
ไมโครเวฟ[หมายเลข 15],อายุงานไม่ถึง 1 ปี,1
ไมโครเวฟ[หมายเลข 16],อายุงานไม่ถึง 1 ปี,1
ไมโครเวฟ[หมายเลข 17],อายุงานไม่ถึง 1 ปี,1
ลำโพง[หมายเลข 18],อายุงานไม่ถึง 1 ปี,1
ลำโพง[หมายเลข 19],อายุงานไม่ถึง 1 ปี,1
ลำโพง[หมายเลข 20],อายุงานไม่ถึง 1 ปี,1
ลำโพง[หมายเลข 21],อายุงานไม่ถึง 1 ปี,1
ลำโพง[หมายเลข 22],อายุงานไม่ถึง 1 ปี,1
ลำโพง[หมายเลข 23],อายุงานไม่ถึง 1 ปี,1
ลำโพง[หมายเลข 24],อายุงานไม่ถึง 1 ปี,1
ลำโพง[หมายเลข 25],อายุงานไม่ถึง 1 ปี,1
ลำโพง[หมายเลข 26],อายุงานไม่ถึง 1 ปี,1
,,
,อายุงาน 1-5 ปี,
,อายุงาน 1-5 ปี,
,อายุงาน 1-5 ปี,
,อายุงาน 1-5 ปี,
,อายุงาน 1-5 ปี,
,อายุงาน 1-5 ปี,
,อายุงาน 1-5 ปี,
,อายุงาน 1-5 ปี,
,อายุงานไม่ถึง 1 ปี,
,อายุงานไม่ถึง 1 ปี,
,อายุงานไม่ถึง 1 ปี,
,อายุงานไม่ถึง 1 ปี,
,อายุงานไม่ถึง 1 ปี,
,อายุงานไม่ถึง 1 ปี,
,อายุงานไม่ถึง 1 ปี,
,อายุงานไม่ถึง 1 ปี,
,อายุงานไม่ถึง 1 ปี,
,อายุงานไม่ถึง 1 ปี,
